titles  ,  years  ,  genres  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide
Exposed  ,  III 2016  ,  Crime; Drama; Mystery  ,  R  ,  14134  ,  /title/tt4019560/ ,  4.3  ,  23  ,  4.0  ,  4.3  ,  4.3  ,  4.4  ,  4.3  ,  3.0  ,  4.3  ,  4.3  ,  4.4  ,  4.5  ,  6.0  ,  4.5  ,  4.4  ,  4.7  , None  ,  None  ,  None  ,  269915  ,  269915
Knock Knock  ,  I 2015  ,  Drama; Thriller  ,  R  ,  86031  ,  /title/tt3605418/ ,  4.9  ,  53  ,  4.3  ,  4.8  ,  4.9  ,  4.9  ,  4.9  ,  3.9  ,  4.9  ,  5.0  ,  5.0  ,  4.4  ,  5.9  ,  4.5  ,  4.4  ,  4.5  , 18623  ,  None  ,  36336  ,  5530767  ,  5567103
John Wick  ,  2014  ,  Action; Crime; Thriller  ,  R  ,  553098  ,  /title/tt2911666/ ,  7.4  ,  68  ,  7.8  ,  7.6  ,  7.3  ,  7.2  ,  7.3  ,  7.8  ,  7.6  ,  7.3  ,  7.1  ,  7.3  ,  7.3  ,  7.4  ,  7.2  ,  7.4  , 14415922  ,  20000000  ,  43037835  ,  43043876  ,  86081711
47 Ronin  ,  2013  ,  Action; Drama; Fantasy  ,  PG-13  ,  150141  ,  /title/tt1335975/ ,  6.3  ,  28  ,  5.8  ,  6.3  ,  6.2  ,  6.4  ,  6.2  ,  5.3  ,  6.3  ,  6.2  ,  6.3  ,  6.5  ,  7.2  ,  6.4  ,  6.4  ,  6.7  , 9910310  ,  175000000  ,  38362475  ,  113421364  ,  151783839
Man of Tai Chi  ,  2013  ,  Action; Drama  ,  R  ,  36144  ,  /title/tt2016940/ ,  6.1  ,  52  ,  6.5  ,  6.3  ,  6.0  ,  5.9  ,  6.1  ,  5.9  ,  6.3  ,  6.0  ,  5.9  ,  6.1  ,  7.3  ,  6.1  ,  6.1  ,  6.1  , 61054  ,  None  ,  100144  ,  5364741  ,  5464885
Generation Um...  ,  2012  ,  Drama  ,  R  ,  3891  ,  /title/tt1718158/ ,  4.0  ,  25  ,  -  ,  4.5  ,  4.0  ,  3.6  ,  3.9  ,  -  ,  4.5  ,  4.0  ,  3.6  ,  4.1  ,  -  ,  4.5  ,  4.0  ,  3.8  , None  ,  None  ,  None  ,  None  ,  None
Henry's Crime  ,  2010  ,  Comedy; Crime; Drama  ,  R  ,  19151  ,  /title/tt1220888/ ,  6.0  ,  49  ,  5.8  ,  6.2  ,  6.0  ,  5.9  ,  6.0  ,  6.0  ,  6.2  ,  6.0  ,  5.9  ,  5.9  ,  5.0  ,  6.1  ,  5.8  ,  5.9  , 8726  ,  None  ,  102541  ,  2067258  ,  2169799
The Day the Earth Stood Still  ,  2008  ,  Drama; Sci-Fi; Thriller  ,  PG-13  ,  164798  ,  /title/tt0970416/ ,  5.5  ,  40  ,  5.0  ,  5.5  ,  5.5  ,  5.5  ,  5.5  ,  5.2  ,  5.5  ,  5.5  ,  5.5  ,  5.6  ,  7.0  ,  5.6  ,  5.5  ,  5.8  , 30480153  ,  80000000  ,  79366978  ,  153726881  ,  233093859
Street Kings  ,  2008  ,  Action; Crime; Drama  ,  R  ,  108156  ,  /title/tt0421073/ ,  6.8  ,  55  ,  6.0  ,  6.8  ,  6.8  ,  6.7  ,  6.8  ,  5.5  ,  6.8  ,  6.8  ,  6.7  ,  6.6  ,  7.2  ,  6.6  ,  6.6  ,  6.8  , 12469631  ,  20000000  ,  26418667  ,  40057696  ,  66476363
A Scanner Darkly  ,  2006  ,  Animation; Crime; Drama  ,  R  ,  107413  ,  /title/tt0405296/ ,  7.1  ,  73  ,  7.3  ,  7.3  ,  7.1  ,  6.7  ,  7.1  ,  7.7  ,  7.3  ,  7.1  ,  6.7  ,  7.1  ,  6.7  ,  7.3  ,  7.1  ,  6.9  , 391672  ,  None  ,  5501616  ,  2158302  ,  7659918
