titles  ,  years  ,  genres  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide
The Nanny Diaries  ,  2007  ,  Comedy; Drama; Romance  ,  PG-13  ,  56550  ,  /title/tt0489237/ ,  6.2  ,  46  ,  5.7  ,  6.4  ,  6.1  ,  6.0  ,  6.0  ,  6.5  ,  6.2  ,  6.0  ,  5.9  ,  6.3  ,  5.0  ,  6.5  ,  6.2  ,  6.2  , 7480927  ,  None  ,  25930652  ,  21886368  ,  47817020
The Prestige  ,  2006  ,  Drama; Mystery; Sci-Fi  ,  PG-13  ,  1213168  ,  /title/tt0482571/ ,  8.5  ,  66  ,  8.7  ,  8.7  ,  8.5  ,  7.9  ,  8.5  ,  8.7  ,  8.8  ,  8.5  ,  7.9  ,  8.4  ,  8.3  ,  8.6  ,  8.3  ,  7.9  , 14801808  ,  40000000  ,  53089891  ,  56586420  ,  109676311
The Black Dahlia  ,  2006  ,  Crime; Drama; Mystery  ,  R  ,  71807  ,  /title/tt0387877/ ,  5.6  ,  49  ,  6.7  ,  5.7  ,  5.6  ,  5.5  ,  5.6  ,  10.0  ,  5.7  ,  5.6  ,  5.5  ,  5.5  ,  5.0  ,  5.7  ,  5.5  ,  5.4  , 10005895  ,  50000000  ,  22545080  ,  26787612  ,  49332692
Scoop  ,  2006  ,  Comedy; Crime; Fantasy  ,  PG-13  ,  81535  ,  /title/tt0457513/ ,  6.6  ,  48  ,  6.5  ,  6.7  ,  6.7  ,  6.6  ,  6.6  ,  6.2  ,  6.7  ,  6.6  ,  6.6  ,  6.8  ,  8.0  ,  6.9  ,  6.7  ,  6.6  , 3003000  ,  None  ,  10525717  ,  28695229  ,  39220946
The Island  ,  2005  ,  Action; Sci-Fi; Thriller  ,  PG-13  ,  302512  ,  /title/tt0399201/ ,  6.8  ,  50  ,  6.8  ,  6.9  ,  6.8  ,  6.8  ,  6.8  ,  6.1  ,  6.9  ,  6.9  ,  6.8  ,  6.8  ,  7.5  ,  6.9  ,  6.8  ,  6.8  , 12409070  ,  126000000  ,  35818913  ,  127130251  ,  162949164
Match Point  ,  2005  ,  Drama; Romance; Thriller  ,  R  ,  208284  ,  /title/tt0416320/ ,  7.6  ,  72  ,  7.5  ,  7.6  ,  7.6  ,  7.5  ,  7.6  ,  8.2  ,  7.7  ,  7.7  ,  7.5  ,  7.4  ,  6.7  ,  7.4  ,  7.5  ,  7.6  , 398593  ,  15000000  ,  23151529  ,  62487127  ,  85638656
The Perfect Score  ,  2004  ,  Comedy; Crime; Drama  ,  PG-13  ,  24026  ,  /title/tt0314498/ ,  5.7  ,  35  ,  6.1  ,  6.0  ,  5.6  ,  5.5  ,  5.7  ,  6.0  ,  6.0  ,  5.6  ,  5.5  ,  5.9  ,  6.8  ,  6.0  ,  5.8  ,  5.8  , 4873819  ,  None  ,  10391003  ,  507334  ,  10898337
In Good Company  ,  2004  ,  Comedy; Drama; Romance  ,  PG-13  ,  53816  ,  /title/tt0385267/ ,  6.4  ,  66  ,  8.0  ,  6.3  ,  6.4  ,  6.5  ,  6.5  ,  8.0  ,  6.4  ,  6.5  ,  6.5  ,  6.1  ,  -  ,  6.1  ,  6.1  ,  6.5  , 151750  ,  None  ,  45806659  ,  15508556  ,  61315215
A Good Woman  ,  2004  ,  Drama; Comedy; Romance  ,  PG  ,  11606  ,  /title/tt0379306/ ,  6.5  ,  53  ,  -  ,  6.5  ,  6.4  ,  6.6  ,  6.3  ,  -  ,  6.3  ,  6.2  ,  6.5  ,  6.7  ,  -  ,  6.7  ,  6.6  ,  6.8  , 97060  ,  None  ,  238609  ,  6639824  ,  6878433
A Love Song for Bobby Long  ,  2004  ,  Drama  ,  R  ,  25378  ,  /title/tt0369672/ ,  7.1  ,  48  ,  -  ,  7.2  ,  7.1  ,  7.1  ,  7.0  ,  -  ,  7.1  ,  7.1  ,  7.0  ,  7.5  ,  -  ,  7.5  ,  7.4  ,  7.5  , 28243  ,  None  ,  164308  ,  1875218  ,  2039526
Lost in Translation  ,  2003  ,  Comedy; Drama  ,  R  ,  422324  ,  /title/tt0335266/ ,  7.7  ,  89  ,  7.9  ,  7.7  ,  7.7  ,  7.6  ,  7.8  ,  8.0  ,  7.8  ,  7.8  ,  7.6  ,  7.4  ,  7.6  ,  7.4  ,  7.4  ,  7.4  , 925087  ,  4000000  ,  44585453  ,  74101484  ,  118686937
Girl with a Pearl Earring  ,  2003  ,  Biography; Drama; Romance  ,  PG-13  ,  73185  ,  /title/tt0335119/ ,  6.9  ,  72  ,  6.8  ,  6.9  ,  6.8  ,  7.1  ,  6.8  ,  6.1  ,  6.7  ,  6.7  ,  7.0  ,  7.0  ,  7.5  ,  7.0  ,  7.0  ,  7.2  , 89472  ,  None  ,  11670971  ,  21359144  ,  33030115
Eight Legged Freaks  ,  2002  ,  Action; Adventure; Comedy  ,  PG-13  ,  53109  ,  /title/tt0271367/ ,  5.4  ,  53  ,  5.3  ,  5.4  ,  5.3  ,  5.8  ,  5.4  ,  4.7  ,  5.5  ,  5.3  ,  5.8  ,  5.3  ,  5.5  ,  5.3  ,  5.1  ,  6.0  , 6485458  ,  30000000  ,  17322606  ,  28544727  ,  45867333
Ghost World  ,  2001  ,  Comedy; Drama  ,  R  ,  114148  ,  /title/tt0162346/ ,  7.3  ,  88  ,  7.3  ,  7.3  ,  7.3  ,  7.3  ,  7.3  ,  6.9  ,  7.3  ,  7.3  ,  7.3  ,  7.3  ,  7.5  ,  7.3  ,  7.3  ,  7.3  , 98791  ,  7000000  ,  6217849  ,  2546158  ,  8764007
An American Rhapsody  ,  2001  ,  Drama  ,  PG-13  ,  3899  ,  /title/tt0221799/ ,  6.7  ,  51  ,  5.0  ,  6.8  ,  6.7  ,  6.7  ,  6.6  ,  4.0  ,  6.4  ,  6.7  ,  6.7  ,  6.9  ,  6.0  ,  7.2  ,  6.8  ,  7.0  , 40200  ,  None  ,  850255  ,  120421  ,  970676
Fast & Furious Presents: Hobbs & Shaw  ,  2019  ,  Action; Adventure; Thriller  ,  PG-13  ,  175057  ,  /title/tt6806448/ ,  6.4  ,  60  ,  6.5  ,  6.4  ,  6.3  ,  6.5  ,  6.4  ,  6.5  ,  6.4  ,  6.3  ,  6.5  ,  6.8  ,  5.7  ,  6.7  ,  6.7  ,  7.1  , 60038950  ,  200000000  ,  173956935  ,  585100000  ,  759056935
Jumanji: The Next Level  ,  2019  ,  Action; Adventure; Comedy  ,  PG-13  ,  197801  ,  /title/tt7975244/ ,  6.6  ,  58  ,  7.1  ,  6.7  ,  6.5  ,  6.7  ,  6.6  ,  6.9  ,  6.6  ,  6.5  ,  6.6  ,  7.0  ,  7.6  ,  7.0  ,  6.9  ,  7.1  , 59251543  ,  125000000  ,  320314960  ,  479744747  ,  800059707
Fighting with My Family  ,  2019  ,  Biography; Comedy; Drama  ,  PG-13  ,  68957  ,  /title/tt6513120/ ,  7.1  ,  68  ,  6.8  ,  7.1  ,  7.0  ,  7.1  ,  7.0  ,  6.7  ,  7.1  ,  7.0  ,  7.0  ,  7.1  ,  6.7  ,  7.1  ,  7.1  ,  7.2  , 138780  ,  11000000  ,  22958886  ,  17853033  ,  40811919
Rampage  ,  2018  ,  Action; Adventure; Sci-Fi  ,  PG-13  ,  148111  ,  /title/tt2231461/ ,  6.1  ,  45  ,  5.9  ,  6.1  ,  6.0  ,  6.2  ,  6.0  ,  5.9  ,  6.0  ,  6.0  ,  6.1  ,  6.4  ,  5.3  ,  6.4  ,  6.3  ,  6.7  , 35753093  ,  120000000  ,  101028233  ,  327000000  ,  428028233
Skyscraper  ,  2018  ,  Action; Adventure; Thriller  ,  PG-13  ,  109754  ,  /title/tt5758778/ ,  5.8  ,  51  ,  5.6  ,  5.8  ,  5.7  ,  5.9  ,  5.8  ,  5.6  ,  5.8  ,  5.7  ,  5.8  ,  6.1  ,  4.3  ,  6.1  ,  6.0  ,  6.3  , 24905015  ,  125000000  ,  68420120  ,  236448841  ,  304868961
Jumanji: Welcome to the Jungle  ,  2017  ,  Action; Adventure; Comedy  ,  PG-13  ,  328799  ,  /title/tt2283362/ ,  6.9  ,  58  ,  7.1  ,  7.0  ,  6.8  ,  7.0  ,  6.8  ,  6.9  ,  6.9  ,  6.8  ,  6.9  ,  7.3  ,  7.7  ,  7.3  ,  7.2  ,  7.5  , 36169328  ,  90000000  ,  404540171  ,  557634279  ,  962174450
Baywatch  ,  2017  ,  Action; Comedy; Crime  ,  R  ,  165890  ,  /title/tt1469304/ ,  5.5  ,  37  ,  5.7  ,  5.7  ,  5.4  ,  5.4  ,  5.5  ,  5.7  ,  5.6  ,  5.4  ,  5.4  ,  5.7  ,  5.5  ,  5.9  ,  5.6  ,  5.7  , 18503871  ,  69000000  ,  58060186  ,  119796565  ,  177856751
The Fate of the Furious  ,  2017  ,  Action; Adventure; Crime  ,  PG-13  ,  209157  ,  /title/tt4630562/ ,  6.6  ,  56  ,  6.7  ,  6.7  ,  6.5  ,  6.6  ,  6.6  ,  6.6  ,  6.7  ,  6.5  ,  6.5  ,  7.1  ,  7.1  ,  7.3  ,  7.0  ,  7.1  , 98786705  ,  250000000  ,  226008385  ,  1009996733  ,  1236005118
Moana  ,  I 2016  ,  Animation; Adventure; Comedy  ,  PG  ,  281526  ,  /title/tt3521164/ ,  7.6  ,  81  ,  7.4  ,  7.6  ,  7.5  ,  7.5  ,  7.5  ,  7.3  ,  7.5  ,  7.5  ,  7.4  ,  7.9  ,  7.7  ,  7.9  ,  7.9  ,  7.9  , 56631401  ,  None  ,  248757044  ,  396205495  ,  644962539
Central Intelligence  ,  2016  ,  Action; Comedy; Crime  ,  PG-13  ,  163031  ,  /title/tt1489889/ ,  6.3  ,  52  ,  6.5  ,  6.4  ,  6.2  ,  6.3  ,  6.3  ,  6.3  ,  6.4  ,  6.2  ,  6.2  ,  6.5  ,  6.7  ,  6.5  ,  6.4  ,  6.7  , 35535250  ,  50000000  ,  127440871  ,  89531672  ,  216972543
Furious 7  ,  2015  ,  Action; Adventure; Thriller  ,  PG-13  ,  364207  ,  /title/tt2820852/ ,  7.1  ,  67  ,  7.5  ,  7.4  ,  7.0  ,  6.8  ,  7.0  ,  7.5  ,  7.3  ,  6.9  ,  6.8  ,  7.6  ,  7.9  ,  7.8  ,  7.4  ,  7.5  , 147187040  ,  190000000  ,  353007020  ,  1162248602  ,  1515255622
San Andreas  ,  2015  ,  Action; Adventure; Thriller  ,  PG-13  ,  216507  ,  /title/tt2126355/ ,  6.1  ,  43  ,  6.1  ,  6.2  ,  6.0  ,  6.1  ,  6.0  ,  5.9  ,  6.1  ,  5.9  ,  6.0  ,  6.5  ,  6.3  ,  6.6  ,  6.3  ,  6.6  , 54588173  ,  110000000  ,  155190832  ,  318800000  ,  473990832
Hercules  ,  I 2014  ,  Action; Adventure; Fantasy  ,  PG-13  ,  147727  ,  /title/tt1267297/ ,  6.0  ,  47  ,  6.1  ,  6.1  ,  5.9  ,  6.1  ,  6.0  ,  5.9  ,  6.1  ,  5.9  ,  6.1  ,  6.1  ,  6.2  ,  6.2  ,  6.0  ,  6.5  , 29800263  ,  100000000  ,  72688614  ,  172131248  ,  244819862
G.I. Joe: Retaliation  ,  2013  ,  Action; Adventure; Sci-Fi  ,  PG-13  ,  174463  ,  /title/tt1583421/ ,  5.8  ,  41  ,  5.7  ,  6.0  ,  5.7  ,  5.7  ,  5.7  ,  5.6  ,  6.0  ,  5.7  ,  5.6  ,  6.0  ,  6.2  ,  6.3  ,  5.8  ,  6.1  , 40501814  ,  130000000  ,  122523060  ,  253217645  ,  375740705
Furious 6  ,  2013  ,  Action; Adventure; Thriller  ,  PG-13  ,  372748  ,  /title/tt1905041/ ,  7.0  ,  61  ,  7.1  ,  7.3  ,  6.9  ,  6.8  ,  7.0  ,  7.1  ,  7.2  ,  6.9  ,  6.7  ,  7.5  ,  7.1  ,  7.7  ,  7.3  ,  7.4  , 97375245  ,  160000000  ,  238679850  ,  550001118  ,  788680968
Pain & Gain  ,  2013  ,  Action; Comedy; Crime  ,  R  ,  203281  ,  /title/tt1980209/ ,  6.4  ,  45  ,  6.4  ,  6.5  ,  6.4  ,  6.2  ,  6.4  ,  6.3  ,  6.6  ,  6.4  ,  6.2  ,  6.0  ,  6.7  ,  6.1  ,  6.0  ,  6.0  , 20244505  ,  26000000  ,  49875291  ,  37430258  ,  87305549
Snitch  ,  I 2013  ,  Action; Drama; Thriller  ,  PG-13  ,  84008  ,  /title/tt0882977/ ,  6.4  ,  51  ,  6.0  ,  6.6  ,  6.4  ,  6.4  ,  6.4  ,  6.0  ,  6.6  ,  6.4  ,  6.4  ,  6.5  ,  8.0  ,  6.6  ,  6.4  ,  6.7  , 13167607  ,  None  ,  42930462  ,  14894212  ,  57824674
Empire State  ,  2013  ,  Action; Crime; Thriller  ,  R  ,  20084  ,  /title/tt2171867/ ,  5.2  ,  None  ,  6.8  ,  5.3  ,  5.1  ,  5.3  ,  5.2  ,  6.5  ,  5.4  ,  5.1  ,  5.3  ,  5.1  ,  7.0  ,  5.1  ,  5.0  ,  5.2  , None  ,  None  ,  None  ,  1212500  ,  1212500
Journey 2: The Mysterious Island  ,  2012  ,  Action; Adventure; Family  ,  PG  ,  95212  ,  /title/tt1397514/ ,  5.8  ,  41  ,  5.8  ,  5.9  ,  5.7  ,  5.7  ,  5.7  ,  6.0  ,  5.8  ,  5.6  ,  5.6  ,  6.1  ,  4.8  ,  6.2  ,  6.0  ,  6.3  , 27335363  ,  79000000  ,  103860290  ,  231400000  ,  335260290
Fast Five  ,  2011  ,  Action; Adventure; Crime  ,  PG-13  ,  357034  ,  /title/tt1596343/ ,  7.3  ,  66  ,  7.5  ,  7.5  ,  7.2  ,  6.9  ,  7.2  ,  7.5  ,  7.5  ,  7.2  ,  6.9  ,  7.6  ,  7.4  ,  7.8  ,  7.4  ,  7.4  , 86198765  ,  125000000  ,  209837675  ,  416300000  ,  626137675
WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 2  ,  2011  ,  None  ,  Not Rated  ,  12  ,  /title/tt2234508/ ,  5.7  ,  None  ,  -  ,  5.5  ,  6.3  ,  -  ,  6.3  ,  -  ,  5.5  ,  6.4  ,  -  ,  6.0  ,  -  ,  -  ,  6.0  ,  -  , None  ,  None  ,  None  ,  None  ,  None
WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 1  ,  2011  ,  None  ,  Not Rated  ,  17  ,  /title/tt2234522/ ,  6.5  ,  None  ,  -  ,  8.0  ,  6.2  ,  -  ,  6.6  ,  -  ,  8.0  ,  6.2  ,  -  ,  6.0  ,  -  ,  -  ,  6.0  ,  -  , None  ,  None  ,  None  ,  None  ,  None
Faster  ,  2010  ,  Action; Crime; Drama  ,  R  ,  101926  ,  /title/tt1433108/ ,  6.4  ,  44  ,  5.7  ,  6.5  ,  6.4  ,  6.4  ,  6.4  ,  5.7  ,  6.5  ,  6.4  ,  6.4  ,  6.5  ,  10.0  ,  6.6  ,  6.4  ,  6.7  , 8523153  ,  24000000  ,  23240020  ,  12386938  ,  35626958
Tooth Fairy  ,  I 2010  ,  Comedy; Family; Fantasy  ,  PG  ,  43026  ,  /title/tt0808510/ ,  5.0  ,  36  ,  4.5  ,  5.0  ,  5.0  ,  5.3  ,  4.9  ,  4.4  ,  4.8  ,  4.9  ,  5.2  ,  5.5  ,  4.8  ,  5.5  ,  5.4  ,  5.8  , 14010409  ,  48000000  ,  60022256  ,  52440252  ,  112462508
Race to Witch Mountain  ,  2009  ,  Action; Adventure; Family  ,  PG  ,  56534  ,  /title/tt1075417/ ,  5.7  ,  52  ,  5.3  ,  5.6  ,  5.6  ,  5.9  ,  5.7  ,  4.8  ,  5.6  ,  5.6  ,  5.9  ,  5.9  ,  6.0  ,  5.9  ,  5.8  ,  6.2  , 24402214  ,  None  ,  67172594  ,  39214547  ,  106387141
Planet 51  ,  2009  ,  Animation; Adventure; Comedy  ,  PG  ,  51593  ,  /title/tt0762125/ ,  6.0  ,  39  ,  5.3  ,  5.8  ,  6.1  ,  6.2  ,  6.0  ,  5.2  ,  5.8  ,  6.1  ,  6.2  ,  6.2  ,  5.3  ,  6.1  ,  6.3  ,  6.3  , 12286129  ,  70000000  ,  42194060  ,  63453042  ,  105647102
Get Smart  ,  2008  ,  Action; Adventure; Comedy  ,  PG-13  ,  206060  ,  /title/tt0425061/ ,  6.5  ,  54  ,  6.3  ,  6.6  ,  6.4  ,  6.3  ,  6.5  ,  6.4  ,  6.6  ,  6.5  ,  6.3  ,  6.4  ,  6.0  ,  6.5  ,  6.3  ,  6.4  , 38683480  ,  80000000  ,  130319208  ,  100366245  ,  230685453
The Game Plan  ,  2007  ,  Comedy; Family; Sport  ,  PG  ,  59968  ,  /title/tt0492956/ ,  6.1  ,  44  ,  5.5  ,  6.1  ,  6.2  ,  6.2  ,  6.0  ,  5.3  ,  5.9  ,  6.1  ,  6.1  ,  6.5  ,  6.1  ,  6.5  ,  6.5  ,  6.8  , 22950971  ,  None  ,  90648202  ,  57232341  ,  147880543
Gridiron Gang  ,  2006  ,  Biography; Crime; Drama  ,  PG-13  ,  57597  ,  /title/tt0421206/ ,  6.9  ,  52  ,  6.8  ,  7.1  ,  6.9  ,  6.8  ,  6.9  ,  6.8  ,  7.1  ,  6.8  ,  6.7  ,  7.3  ,  7.0  ,  7.3  ,  7.2  ,  7.6  , 14414630  ,  30000000  ,  38432823  ,  3048028  ,  41480851
Southland Tales  ,  2006  ,  Comedy; Drama; Mystery  ,  R  ,  37458  ,  /title/tt0405336/ ,  5.4  ,  44  ,  4.3  ,  5.3  ,  5.5  ,  5.1  ,  5.4  ,  3.7  ,  5.3  ,  5.5  ,  5.0  ,  5.3  ,  7.0  ,  5.6  ,  5.2  ,  5.4  , 117000  ,  None  ,  275380  ,  99363  ,  374743
Doom  ,  2005  ,  Action; Horror; Sci-Fi  ,  R  ,  108922  ,  /title/tt0419706/ ,  5.2  ,  34  ,  4.6  ,  5.3  ,  5.2  ,  5.3  ,  5.2  ,  4.0  ,  5.3  ,  5.2  ,  5.2  ,  5.6  ,  5.7  ,  5.7  ,  5.5  ,  5.7  , 15488870  ,  60000000  ,  28212337  ,  29859782  ,  58072119
Be Cool  ,  2005  ,  Comedy; Crime; Music  ,  PG-13  ,  67576  ,  /title/tt0377471/ ,  5.7  ,  37  ,  5.6  ,  5.7  ,  5.7  ,  5.6  ,  5.7  ,  5.8  ,  5.7  ,  5.7  ,  5.6  ,  5.5  ,  7.0  ,  5.3  ,  5.4  ,  5.7  , 23450212  ,  53000000  ,  56046979  ,  39716737  ,  95763716
Walking Tall  ,  2004  ,  Action; Crime  ,  PG-13  ,  71557  ,  /title/tt0351977/ ,  6.3  ,  44  ,  6.3  ,  6.4  ,  6.2  ,  6.1  ,  6.2  ,  6.3  ,  6.4  ,  6.2  ,  6.0  ,  6.5  ,  6.0  ,  6.6  ,  6.3  ,  6.7  , 15501114  ,  46000000  ,  46437717  ,  10786173  ,  57223890
The Rundown  ,  2003  ,  Action; Adventure; Comedy  ,  PG-13  ,  102047  ,  /title/tt0327850/ ,  6.7  ,  59  ,  6.8  ,  6.7  ,  6.7  ,  6.6  ,  6.7  ,  6.9  ,  6.7  ,  6.7  ,  6.6  ,  6.7  ,  6.3  ,  6.7  ,  6.7  ,  7.0  , 18553765  ,  85000000  ,  47726342  ,  33255572  ,  80981914
The Scorpion King  ,  2002  ,  Action; Adventure; Fantasy  ,  PG-13  ,  131826  ,  /title/tt0277296/ ,  5.5  ,  45  ,  5.5  ,  5.6  ,  5.4  ,  5.7  ,  5.5  ,  5.3  ,  5.6  ,  5.4  ,  5.6  ,  5.7  ,  6.9  ,  5.8  ,  5.5  ,  6.0  , 36075875  ,  60000000  ,  91047077  ,  89583830  ,  180630907
